"Variable","P_Value","coeff","r_squared","adj_r_squared","P_Adjusted"
"Angry",7.27009214753009e-17,-0.102672307812628,0.00188142514035685,0.00185441830625155,4.72555989589456e-15
"Attention",8.53841880299811e-12,-0.0343926605233746,0.00126114263049613,0.00123411901294723,5.54997222194877e-10
"Audition",1.3390464912444e-26,-0.10447672964561,0.00307841552688909,0.00305144108063993,8.70380219308862e-25
"Away",1.66149532907381e-34,-0.0997284825957009,0.0040527666486057,0.00402581856609707,1.07997196389798e-32
"Biomotion",2.60338784049873e-21,-0.0799738334786909,0.00242751179878746,0.00240051974055366,1.69220209632418e-19
"Caused",1.80049523667588e-05,-0.0337881440162106,0.000497460683330666,0.000470416402273299,0.00117032190383932
"Color",5.01367536985083e-30,-0.14121640988184,0.00350057822354147,0.00347361520006129,3.25888899040304e-28
"Dark",1.71771090300372e-30,-0.108422639868851,0.00355790936046008,0.00353094788823105,1.11651208695242e-28
"Disgusted",2.98723375786598e-18,-0.0590548021758782,0.00205154517702411,0.00202454294598275,1.94170194261289e-16
"Drive",3.00351906886693e-40,-0.121578993062469,0.00476091987895735,0.00473399095747562,1.9522873947635e-38
"Duration",1.32752747540695e-28,-0.131836598312477,0.00332524817200374,0.00329828040448843,8.62892859014517e-27
"High",1.95635379766306e-05,0.0221559928175328,0.000493183305851632,0.000466138909058111,0.00127162996848099
"Landmark",4.22159242421383e-08,-0.0501636154228379,0.000812627529452056,0.000785591776097716,2.74403507573899e-06
"Large",8.99120505854854e-07,-0.0422770962033133,0.000652776837587904,0.000625736759034878,5.84428328805655e-05
"Loud",1.51516127971624e-07,-0.0436282721445544,0.000745711917011179,0.000718674353071491,9.84854831815559e-06
"LowerLimb",3.28860323293508e-21,-0.121604910942024,0.00241503451624936,0.00238804212040855,2.1375921014078e-19
"Needs",2.59542040557733e-09,-0.0537173434274005,0.000959182438474008,0.000932150650564401,1.68702326362527e-07
"Number",1.26700886089156e-06,-0.0231443363361311,0.000634924371839082,0.000607883810238685,8.23555759579511e-05
"Pain",8.90569237839107e-05,-0.0159070672682719,0.000415406965629403,0.00038836046438373,0.00578870004595419
"Path",2.49199978165799e-22,0.0472603794738003,0.00255283688525428,0.00252584821803437,1.6197998580777e-20
"Pattern",9.94951405189188e-44,0.0820757249366654,0.00519006926614754,0.00516315195647887,6.46718413372972e-42
"Pleasant",8.57445203061251e-37,0.0879143400496855,0.00433479069556756,0.00430785024399261,5.57339381989813e-35
"Practice",1.53024484850574e-15,0.0426132554362383,0.00171920831817045,0.00169219709484436,9.94659151528734e-14
"Sad",4.50982564190498e-21,0.0470465643434273,0.00239817132150325,0.0023711784693824,2.93138666723824e-19
"Scene",1.37846692129579e-14,0.0672211568574193,0.00160229790753777,0.0015752835208801,8.96003498842265e-13
"Self",8.19197292028386e-07,0.0474774446175019,0.000657625050664863,0.000630585103293502,5.32478239818451e-05
"Shape",2.34089004707403e-18,0.0846130643361439,0.00206454591705185,0.00203754403778122,1.52157853059812e-16
"Sound",7.53129548928061e-05,-0.0363878378434028,0.000423977123619237,0.000396930854262734,0.0048953420680324
"Taste",0.000507310759966178,0.0361480330629895,0.000327041122867795,0.000299992230642032,0.0329751993978016
"Toward",8.47594473611122e-06,0.0257842514828057,0.000536347714767051,0.000509304485904916,0.000550936407847229
"Unpleasant",1.31830863816674e-09,0.0449540500041633,0.000994865408329506,0.000967834585920424,8.56900614808378e-08
"Vision",7.00386900247218e-05,0.0312597497136965,0.0004276918601999,0.000400645691355783,0.00455251485160691
"Weight",2.0134763262133e-13,0.0647183950657048,0.00145984413795345,0.00143282589681848,1.30875961203865e-11
