"Variable","P_Value","coeff","r_squared","adj_r_squared","P_Adjusted"
"Arousal",5.36523209897711e-11,0.0162647180849882,0.000227545155212342,0.000222258850097634,3.48740086433512e-09
"Audition",1.82421836961354e-13,0.0277138250150747,0.000286466352323417,0.000281180358755018,1.1857419402488e-11
"Away",9.16835276803309e-09,0.019590274552324,0.000174526163156033,0.000169239577702873,5.95942929922151e-07
"Body",2.83448512985362e-19,0.0400850932696033,0.000425818968553661,0.000420533711813276,1.84241533440486e-17
"Caused",3.34918099445623e-27,0.0385996986042414,0.000616833054755969,0.000611548808004181,2.17696764639655e-25
"Color",1.47695821850679e-05,0.0240325581080217,9.92263485449218e-05,9.39393649432851e-05,0.000960022842029417
"Communication",3.07776043419435e-08,0.0164862915745537,0.000162091019667771,0.00015680436846377,2.00054428222633e-06
"Disgusted",2.8347086509662e-12,0.0195842657111405,0.000257996662383382,0.00025271051828113,1.84256062312803e-10
"Drive",7.8028068890341e-06,0.0169090870192003,0.000105668656256759,0.000100381706718888,0.000507182447787216
"Fast",1.5972114591494e-12,0.0313355311234366,0.000263945698314021,0.000258659585667398,1.03818744844711e-10
"Fearful",1.11726014421841e-24,0.0402732475103077,0.000555968577483331,0.000550684008910118,7.26219093741965e-23
"Happy",3.93404697946213e-07,0.00719410717118348,0.000136019757521225,0.000130732968465108,2.55713053665038e-05
"Harm",3.46498858150521e-19,0.0213009830922537,0.000423721375924355,0.000418436108093001,2.25224257797838e-17
"Head",9.81323816482257e-17,0.0321622482302232,0.000364807596755666,0.000359522017417069,6.37860480713467e-15
"Landmark",2.88852678755893e-13,0.0207364557544211,0.000281693290054086,0.000276407271248003,1.87754241191331e-11
"Large",5.45540478901076e-05,0.0116808471700439,8.60924903162888e-05,8.08054372694045e-05,0.003546013112857
"Low",3.38370835178891e-18,0.024319657447282,0.000399930474315331,0.000394645080689315,2.19941042866279e-16
"Motion",1.1601436149673e-11,-0.0290012533953191,0.000243394378568386,0.000238108157256445,7.54093349728748e-10
"Music",1.44933976805044e-24,0.0262740664689559,0.000553243671931273,0.000547959088950112,9.42070849232784e-23
"Needs",0.000131310744320479,-0.0176256425906497,7.73158034628078e-05,7.20287040091305e-05,0.00853519838083114
"Number",5.18439570909334e-29,0.0209121893709271,0.0006605281380646,0.000655244122350962,3.36985721091067e-27
"Pain",1.15641161444856e-08,0.0111252126821299,0.000172140488036291,0.000166853889968843,7.51667549391562e-07
"Scene",1.12030181609249e-07,0.0228829993911096,0.000148854342174929,0.000143567620981777,7.2819618046012e-06
"Slow",8.77289378395376e-08,-0.0218129659960589,0.000151356910062187,0.000146070202101445,5.70238095956994e-06
"Small",5.33396970329244e-06,-0.0149644447595562,0.000109516891028945,0.000104229961838676,0.000346708030714009
"Smell",1.3163007105792e-09,-0.0254161326509396,0.000194503798931603,0.000189217319110369,8.55595461876481e-08
"Speech",8.21115128564398e-09,0.0310101303929642,0.000175659595495179,0.000170373016035064,5.33724833566858e-07
"Surprised",4.35243779749421e-06,-0.0249507398171735,0.000111576412884712,0.000106289494584244,0.000282908456837123
"Taste",3.48049704043663e-09,0.0290971100019855,0.00018448880897132,0.000179202276195833,2.26232307628381e-07
"Temperature",1.0954004148836e-13,-0.0291113862454239,0.000291764767892033,0.000286478802339007,7.12010269674342e-12
"Time",0.000116074015822596,-0.0110301832736836,7.85452811222641e-05,7.32581881693894e-05,0.00754481102846873
"Toward",3.21493960395614e-08,0.0167895668529883,0.000161643737077705,0.000156357083508696,2.08971074257149e-06
"Vision",6.4703232698009e-07,0.0196256840252153,0.000130946296916886,0.000125659481034823,4.20571012537059e-05
"Weight",0.000118161904293831,0.0172173709673472,7.836750683506e-05,7.30804129422946e-05,0.007680523779099
